date,weekday,城六区,西北部,东北部,东南部,西南部
2023/6/22,Thursday,68.53083333333333,59.624,60.40124999999999,75.32166666666667,63.7425
2023/6/23,Friday,84.205,82.958,92.50125,86.45166666666667,78.8025
2023/6/24,Saturday,75.2325,79.35,78.92625000000001,79.715,70.86500000000001
2023/6/25,Sunday,76.98666666666668,76.252,69.69500000000001,71.10333333333332,79.72999999999999
2023/6/26,Monday,50.895833333333336,45.408,52.338750000000005,50.035,49.457499999999996
2023/6/27,Tuesday,66.71916666666667,65.424,62.8075,67.08333333333333,62.760000000000005
2023/6/28,Wednesday,49.321666666666665,41.739999999999995,47.25375,52.63833333333333,49.252500000000005
2023/6/29,Thursday,53.895833333333336,42.476000000000006,47.37499999999999,53.431666666666665,52.885
2023/6/30,Friday,81.62833333333333,77.88400000000001,85.46749999999999,84.16000000000001,81.3875
2023/7/1,Saturday,79.07833333333333,84.726,87.72999999999999,72.45,79.055
2023/7/2,Sunday,89.56500000000001,94.308,91.04625,91.35333333333334,89.965
2023/7/3,Monday,69.34083333333334,71.99199999999999,57.82749999999999,63.14500000000001,76.37499999999999
2023/7/4,Tuesday,40.63333333333333,41.266,37.64125,39.730000000000004,42.9775
2023/7/5,Wednesday,45.544999999999995,39.733999999999995,41.1975,53.51500000000001,49.209999999999994
2023/7/6,Thursday,57.053333333333335,50.742,60.09374999999999,68.64166666666667,58.5425
2023/7/7,Friday,44.21333333333333,34.629999999999995,41.40625,52.11166666666666,46.269999999999996
2023/7/8,Saturday,29.502499999999998,27.274,34.177499999999995,33.62,32.47
2023/7/9,Sunday,32.538333333333334,31.391999999999996,30.30375,35.269999999999996,37.97
2023/7/10,Monday,72.4775,57.14,58.9275,72.90166666666666,72.6775
2023/7/11,Tuesday,67.06583333333332,71.65799999999999,58.0575,57.214999999999996,64.8125
2023/7/12,Wednesday,39.579166666666666,38.242000000000004,37.10875,38.568333333333335,36.269999999999996
2023/7/13,Thursday,28.22916666666666,26.292,25.4625,28.89,27.04
2023/7/14,Friday,38.29916666666666,31.816000000000003,33.168749999999996,40.443333333333335,36.605
2023/7/15,Saturday,28.7375,31.036,29.96875,28.680000000000003,29.947499999999998
2023/7/16,Sunday,32.57416666666667,29.308000000000003,32.40625,34.681666666666665,33.697500000000005
2023/7/17,Monday,64.20916666666668,61.636,66.77125000000001,66.80833333333334,62.9075
2023/7/18,Tuesday,70.79833333333333,66.34200000000001,64.55125,70.15166666666666,68.1075
2023/7/19,Wednesday,72.23333333333332,70.184,75.48875000000001,78.05666666666666,75.2925
2023/7/20,Thursday,69.18666666666667,72.174,81.87625,71.65666666666668,63.75
2023/7/21,Friday,45.248333333333335,42.19,54.58375,50.166666666666664,39.2975
2023/7/22,Saturday,35.55166666666667,39.774,32.51,34.49333333333333,34.4225
2023/7/23,Sunday,42.787499999999994,36.227999999999994,35.75375,45.31999999999999,40.2825
2023/7/24,Monday,64.03833333333334,53.996,61.54375000000001,71.015,61.160000000000004
2023/7/25,Tuesday,57.660000000000004,54.886,59.19625,53.59666666666667,49.529999999999994
2023/7/26,Wednesday,65.33083333333333,53.6,52.324999999999996,65.42333333333333,57.645
2023/7/27,Thursday,50.335,46.486,53.10999999999999,59.52,49.48
2023/7/28,Friday,31.388333333333335,29.034000000000002,27.946250000000003,33.36166666666667,28.6025
2023/7/29,Saturday,31.953333333333337,31.772000000000002,26.88125,35.20333333333333,30.342499999999998
2023/7/30,Sunday,16.379166666666663,16.502,13.057500000000001,12.333333333333334,12.8225
2023/7/31,Monday,23.14583333333333,17.258000000000003,17.6475,21.721666666666664,16.54
2023/8/1,Tuesday,36.14833333333333,28.028,32.30375,29.245000000000005,25.205000000000002
2023/8/2,Wednesday,40.4475,37.74400000000001,41.28875000000001,34.160000000000004,36.2325
2023/8/3,Thursday,58.244166666666665,60.676,56.74374999999999,59.145,47.5525
2023/8/4,Friday,48.54833333333334,40.192,51.65625,55.565,42.155
2023/8/5,Saturday,34.24666666666667,37.286,30.965,39.20166666666667,33.614999999999995
2023/8/6,Sunday,35.05083333333334,41.666,34.57875,34.291666666666664,33.9975
2023/8/7,Monday,47.145833333333336,44.260000000000005,46.353750000000005,43.18833333333333,40.6375
2023/8/8,Tuesday,62.298333333333325,55.976,53.138749999999995,55.798333333333325,47.075
2023/8/9,Wednesday,72.85166666666666,72.234,66.75125,82.73,51.875
2023/8/10,Thursday,79.235,72.59599999999999,64.35375,71.58833333333332,61.727500000000006
2023/8/11,Friday,65.93499999999999,56.507999999999996,62.37,61.61000000000001,51.0325
2023/8/12,Saturday,29.830833333333334,31.908000000000005,25.7025,28.75,25.885
2023/8/13,Sunday,33.81583333333334,37.142,26.807499999999997,33.365,32.335
2023/8/14,Monday,45.565,44.61,49.74625,49.415,34.9775
2023/8/15,Tuesday,53.971666666666664,51.410000000000004,58.97875,49.833333333333336,41.7175
2023/8/16,Wednesday,67.27749999999999,53.99400000000001,58.74875,68.49833333333333,53.989999999999995
2023/8/17,Thursday,62.462500000000006,53.25999999999999,55.28,63.38,50.5
2023/8/18,Friday,53.82250000000001,46.141999999999996,50.00875,57.86166666666667,45.075
2023/8/19,Saturday,70.77083333333333,43.617999999999995,56.43,82.29833333333333,53.685
2023/8/20,Sunday,59.47666666666667,54.174,57.1,61.846666666666664,44.645
2023/8/21,Monday,39.99,46.884,39.8075,40.14000000000001,36.010000000000005
2023/8/22,Tuesday,28.1975,33.266,24.78125,30.128333333333334,23.54
